Report for not matched invoices of My Robo Vault
Generated at: 03 December 11:42:21

,Bank Statement Lines,,,,Transactions,,,,
69,IBANK PAYMENT FROM ABSA BANK...,,-,290.00 ,,Heuningkloof Trust,Ref: INV-40978,-,290.00
70,ACB CREDIT STORMY CAPE,,-,275.00 ,,Stormy Cape Sea Farms (Pty) Ltd,Ref: INV-40974,-,275.00
71,ACB CREDIT CWA 40979,,-,70.00 ,,Cape Wild Abalone (Pty) Ltd,Ref: INV-40979,-,70.00
72,ACB CREDIT ACMS 40972,,-,418.00 ,,Aquaculture Consulting & Management Services (PTY) LTD,Ref: INV-40972,-,418.00
73,ACB CREDIT PEARLY BEACH,,-,275.00 ,,Pearly Beach Seafarm (Pty) Ltd,Ref: INV-40973,-,275.00
74,IBANK PAYMENT FROM ABSA BANK...,,-,451.95 ,,Skilpadvlei,Ref: INV-40898,-,451.95
75,ACB CREDIT INV-40942 HIK ABA...,,-,1.273.90 ,,HIK Abalone Farm (Pty) Ltd,Ref: INV-40942,-,1.273.90
76,IBANK PAYMENT FROM ABSA BANK...,,-,1.125.85 ,,Thornlands Boerdery (Edms) Bpk,Ref: INV-40943,-,1.125.85
77,ACB CREDIT PAYACCSYS BOOMERA...,,-,649.00 ,,Boomerang Fruits,Ref: INV-40976,-,649.00
78,ACB CREDIT STRATHIAN FARMING,,-,451.95 ,,Strathian Farming,Ref: INV-40937,-,451.95
79,ACB CREDIT THORNLANDS TRANSP...,,-,975.20 ,,Thornlands Transport,Ref: INV-40940,-,975.20
80,ACB CREDIT HABIBI FARMING,,-,1.125.85 ,,HABIBI FARMING LTD,Ref: INV-40904,-,1.125.85
81,ACB CREDIT BABYLONS TOWER CC,,-,451.95 ,,Babylon Tower cc t/a Nidderdale Farm,Ref: INV-40949,-,451.95
82,ACB CREDIT MRT DEVELOPMENT,,-,171.21 ,,MRT Development Project NPO,Ref: INV-40903,-,171.21
83,ACB CREDIT MONTEITH TRUST,,-,1.125.85 ,,Monteith Trust,Ref: INV-40918,-,1.125.85
84,ACB CREDIT MOYA MEAKER WINE ...,,-,451.95 ,,Moya Meaker Wine Cellar,Ref: INV-40926,-,451.95
85,ACB DEBIT:EXTERNAL ..., ,178.00 ,-,"Rule for transaction aplied",,,
86,ACB CREDIT IEIM,,-,707.00 ,,Inspired Evolution Investment Management (Pty) Ltd,Ref: INV-40953,-,707.00
87,ACB CREDIT INV40988,,-,3.516.70 ,,Giflo Properties (Pty) Ltd,Ref: INV-40988,-,3.516.70
88,ACB CREDIT MJ HAUPTFLEISCH,,-,290.00 ,,MJ Hauptfleisch,Ref: INV-40952,-,290.00
89,ACB CREDIT TACHODATA,,-,290.00 ,,TachoData,Ref: INV-40970,-,290.00
90,ACB CREDIT ANGEL TV AFRICA,,-,451.95 ,,Angel Television Africa,Ref: INV-40893,-,451.95
91,ACB CREDIT SUNBLINDS,,-,290.00 ,,sunblinds,Ref: INV-40969,-,290.00
92,ACB CREDIT OPEN HOME,,-,565.00 ,,Open Home,Ref: INV-40966,-,565.00
93,IBANK PAYMENT FROM ABSA BANK...,,-,451.95 ,,Steam Trap Evaluation and Monitoring Solutions (Pty) Ltd,Ref: INV-41004,-,451.95
94,ACB CREDIT OABS,,-,451.95 ,,OABS Development,Ref: INV-41042,-,451.95
95,ACB CREDIT CLI-0081,,-,451.95 ,,Executive Panelbeaters,Ref: INV-40991,-,451.95
96,ACB CREDIT GESTRASA PTY LTD,,-,451.95 ,,Gestrasa (Pty) Ltd,Ref: INV-41030,-,451.95
97,IBANK PAYMENT FROM ABSA BANK...,,-,1.807.80 ,,Mosh Petroleum,Ref: INV-41017,-,1.807.80
98,ACB CREDIT CLI-0072 INV-41026,,-,451.95 ,,Innovative Ad media (Pty) Ltd,Ref: INV-41026,-,451.95
99,ACB CREDIT PRO CARE,,-,1.912.45 ,,Pro Care Cleaning and Workplace Services,Ref: INV-41028,-,1.912.45
100,ACB CREDIT KAROOVLAKTE INV41...,,-,171.21 ,,Karoovlakte,Ref: INV-41035,-,171.21
101,ACB CREDIT TWK Chicks,,-,451.95 ,,TWK Chicks (Pty) Ltd,Ref: INV-41008,-,451.95
102,ACB CREDIT GLUEDATA,,-,600.00 ,,Glue Data Services ( Pty) Ltd,Ref: INV-41036,-,600.00
103,ACB CREDIT Hepstar Financial...,,-,546.80 ,,Hepstar Financial Services (Pty) Ltd,Ref: INV-40857,-,546.80
104,ACB CREDIT Caledon Hatchery,,-,451.95 ,,Caledon Hatchery (Pty) Ltd,Ref: INV-41006,-,451.95
105,IBANK PAYMENT FROM ABSA BANK...,,-,161.00 ,,Orman Brink Futter CC,Ref: INV-40998,-,161.00
106,ACB CREDIT 40958TRANSFINDTT,,-,290.00 ,,Transfin - DT Trust t/a Bo Uitkyk,Ref: INV-40958,-,290.00
107,ACB CREDIT MADRON PROPERTIES,,-,903.90 ,,Swellensharon SA (Pty) Ltd,Ref: INV-41057,-,903.90
108,ACB CREDIT MADRON FARMING,,-,451.95 ,,Madron Farming,Ref: INV-41014,-,451.95
109,IBANK PAYMENT FROM ABSA BANK...,,-,3.312.00 ,,Oewerzicht Boerdery,Ref: INV-41002,-,3.312.00
110,ACB CREDIT VEA TECH SA 894,,-,451.95 ,,VEA Technologies SA (Pty) Ltd,Ref: INV-40894,-,451.95
111,CREDIT TRANSFER CASHFOCU...,,-,805.00 ,,Welgemeen Boerdery,Ref: INV-41000,-,805.00
112,IBANK PAYMENT FROM ABSA BANK...,,-,92.00 ,,Chrislou Trust,Ref: INV-41001,-,92.00
113,IBANK PAYMENT FROM ABSA BANK...,,-,2.045.00 ,,Orman Brink Futter CC,Ref: INV-41065,-,2.045.00
114,IBANK PAYMENT FROM ABSA BANK...,,-,207.00 ,,Oewerzicht Farm Cottages,Ref: INV-41003,-,207.00
115,ACB CREDIT DROEKLOOF BOERDERY,,-,1.207.50 ,,Droekloof Boerdery,Ref: INV-40982,-,1.207.50
116,ACB CREDIT GOLDEN REEF MILLI...,,-,1.207.50 ,,Golden Reef,Ref: INV-40983,-,1.207.50
117,ACB CREDIT ITAKANE TRADING 5...,,-,451.95 ,,Itakane Trading 57 (Pty) Ltd,Ref: INV-41044,-,451.95
118,ACB CREDIT JONET BAPHALANE I...,,-,451.95 ,,Jonet Baphalane Cleaning and Hygiene,Ref: INV-40873,-,451.95
119,ACB CREDIT DANCKWERTS FRUIT ...,,-,301.30 ,,Danckwerts Fruit Farms (Pty) ltd,Ref: INV-41039,-,301.30
120,ACB CREDIT Southend Farms,,-,451.95 ,,Southend Farms (Pty) Ltd,Ref: INV-41012,-,451.95
121,ACB CREDIT PRINGLE INVESTMEN...,,-,451.95 ,,Pringle Investment Trust (Pty) Ltd,Ref: INV-41027,-,451.95
122,ACB CREDIT H AND S FLIGHT,,-,301.30 ,,H and S Flights (Pty) Ltd,Ref: INV-41019,-,301.30
123,ACB CREDIT SCHULTZ VPM (PTY)...,,-,1.013.45 ,,Schultz VPM (Pty) Ltd,Ref: INV-41072,-,1.013.45
124,ACB CREDIT CLI-0070 INV-41053,,-,1.273.90 ,,HIK Abalone Farm (Pty) Ltd,Ref: INV-41053,-,1.273.90
125,ACB DEBIT:EXTERNAL ...,,12.782.00 ,-,,Sage Accounting Licenses,Ref: INV3499782,12.782.00,-
126,ACB CREDIT INV 41097,,-,290.00 ,,Tag Flora,Ref: INV-41097,-,290.00
127,IBANK PAYMENT FROM ABSA BANK...,,-,451.95 ,,Skilpadvlei,Ref: INV-41016,-,451.95
128,ACB CREDIT PAYSOFT P REUVERS...,,-,387.00 ,,P reuvers Plase,Ref: INV-41093,-,387.00
129,ACB CREDIT TANGENI TANGENI C...,,-,1.212.00 ,,TANGENI CATTLE COMPANY PTY LTD,Ref: INV-41082,-,1.212.00
130,ACB CREDIT PMT PROJECT ASSIG...,,-,594.00 ,,Project Assignments (SA) (Pty) Ltd,Ref: INV-41103,-,594.00
131,ACB CREDIT KLEINE HEIDEPAN P...,,-,451.95 ,,Kleine Heidepan Plase,Ref: INV-41068,-,451.95
132,ACB CREDIT CPS,,-,2.904.00 ,,CPS,Ref: INV-40967,-,2.904.00
133,ACB CREDIT BDKSOFT/SOL/WFG41...,,-,290.00 ,,Wellington Fruit Growers,Ref: INV-41086,-,290.00
134,ACB CREDIT Waitrose Foundati...,,-,451.95 ,,The Waitrose Foundation NPC,Ref: INV-41067,-,451.95
135,ACB CREDIT SUNBLINDS,,-,290.00 ,,sunblinds,Ref: INV-41088,-,290.00
136,IBANK PAYMENT FROM ABSA BANK...,,-,451.95 ,,Klipdale Boerdery,Ref: INV-41013,-,451.95
137,ACB CREDIT PATRYSKOP BOERDER...,,-,290.00 ,,Patryskop Boerdery,Ref: INV-41096,-,290.00
138,ACB CREDIT CAPITEC FJP LOTTE...,,-,451.95 ,,FJP Lotter TA Karwyderskraal,Ref: INV-41038,-,451.95
139,ACB CREDIT IEIM,,-,707.00 ,,Inspired Evolution Investment Management (Pty) Ltd,Ref: INV-41094,-,707.00
140,ACB CREDIT STORMY CAPE,,-,275.00 ,,Stormy Cape Sea Farms (Pty) Ltd,Ref: INV-41083,-,275.00
141,ACB CREDIT INV 40434,,-,451.95 ,,Babylon Tower cc t/a Nidderdale Farm,Ref: INV-41071,-,451.95
142,ACB CREDIT INVESTECPBArkTree...,,-,230.00 ,,Orman Brink Futter CC,Ref: INV-40499,-,230.00
143,ACB CREDIT PEARLY BEACH,,-,275.00 ,,Pearly Beach Seafarm (Pty) Ltd,Ref: INV-41084,-,275.00
144,ACB CREDIT INV-41023 / AGRIS...,,-,451.95 ,,Agrisouth Orchards (SA) (Pty) Ltd,Ref: INV-41023,-,451.95
145,IBANK PAYMENT FROM ABSA BANK...,,-,1.125.85 ,,Bronaar,Ref: INV-41066,-,1.125.85
146,IBANK PAYMENT FROM ABSA BANK...,,-,290.00 ,,Soc Survival Training Bk,Ref: INV-41104,-,290.00
147,ACB CREDIT MRT DEVELOPMENT,,-,171.21 ,,MRT Development Project NPO,Ref: INV-41037,-,171.21
148,ACB CREDIT CWA 41076,,-,70.00 ,,Cape Wild Abalone (Pty) Ltd,Ref: INV-41076,-,70.00
149,ACB CREDIT MONTEITH TRUST,,-,1.125.85 ,,Monteith Trust,Ref: INV-41009,-,1.125.85
150,IBANK PAYMENT FROM ABSA BANK...,,-,207.00 ,,Mosh Petroleum,Ref: INV-41109,-,207.00
151,ACB CREDIT CLI-0062,,-,451.95 ,,Nelburg Transport and Aggregates (Pty) Ltd,Ref: INV-41043,-,451.95
152,ACB CREDIT BLACE PTY LTD,,-,451.95 ,,Blace,Ref: INV-41031,-,451.95
153,ACB CREDIT THORNLANDS,,-,975.20 ,,Thornlands Transport,Ref: INV-41058,-,975.20
154,ACB CREDIT THORNLANDS PAKSTO...,,-,1.125.85 ,,Thornlands Pakstoor (Edms) Bpk,Ref: INV-41056,-,1.125.85
155,ACB CREDIT THORNLANDS BOERDE...,,-,1.125.85 ,,Thornlands Boerdery (Edms) Bpk,Ref: INV-41055,-,1.125.85
156,IBANK PAYMENT FROM ABSA BANK...,,-,171.21 ,,Hartbeesrivier Landgoed,Ref: INV-41048,-,171.21
157,ACB CREDIT PAYACCSYS BOOMERA...,,-,649.00 ,,Boomerang Fruits,Ref: INV-41080,-,649.00
158,ACB CREDIT DE RUST,,-,673.90 ,,De Rust Estate,Ref: INV-41059,-,673.90
159,IBANK PAYMENT FROM ABSA BANK...,,-,1.125.85 ,,Koppies Hoogte Boerdery BK,Ref: INV-41107,-,1.125.85
160,IBANK PAYMENT FROM ABSA BANK...,,-,290.00 ,,BRENDAS PRESERVES,Ref: INV-41079,-,290.00
161,ACB CREDIT 41099TRANSFIN,,-,290.00 ,,Transfin - DT Trust t/a Bo Uitkyk,Ref: INV-41099,-,290.00
162,ACB CREDIT MOYA MEAKER WINE ...,,-,451.95 ,,Moya Meaker Wine Cellar,Ref: INV-41010,-,451.95
163,ACB CREDIT GEORGIA FARMING,,-,451.95 ,,Georgia Farming,Ref: INV-41032,-,451.95
164,ACB CREDIT MJ HAUPTFLEISCH,,-,290.00 ,,MJ Hauptfleisch,Ref: INV-41078,-,290.00
165,ACB CREDIT TACHODATA,,-,290.00 ,,TachoData,Ref: INV-41087,-,290.00
166,ACB CREDIT OPEN HOME,,-,565.00 ,,Open Home,Ref: INV-41091,-,565.00
167,ACB CREDIT ACTT,,-,513.63 ,,Angel Christian Television Trust,Ref: INV-41073,-,513.63
168,ACB CREDIT INV41113,,-,3.516.70 ,,Giflo Properties (Pty) Ltd,Ref: INV-41113,-,3.516.70
169,IBANK PAYMENT FROM ABSA BANK...,,-,451.95 ,,Skilpadvlei,Ref: INV-41170,-,451.95
170,IBANK PAYMENT FROM ABSA BANK...,,-,451.95 ,,Steam Trap Evaluation and Monitoring Solutions (Pty) Ltd,Ref: INV-41129,-,451.95
171,ACB CREDIT PRO CARE,,-,1.912.45 ,,Pro Care Cleaning and Workplace Services,Ref: INV-41173,-,1.912.45
172,ACB CREDIT GLUEDATA,,-,600.00 ,,Glue Data Services ( Pty) Ltd,Ref: INV-41168,-,600.00
173,ACB CREDIT INVESTECPBCLI-008...,,-,451.95 ,,Ark Tree Group (Pty) Ltd,Ref: INV-41117,-,451.95
174,ACB CREDIT GESTRASA PTY LTD,,-,451.95 ,,Gestrasa (Pty) Ltd,Ref: INV-41134,-,451.95
175,ACB CREDIT CLI_0072 INV-41151,,-,451.95 ,,Innovative Ad media (Pty) Ltd,Ref: INV-41151,-,451.95
176,IBANK PAYMENT FROM ABSA BANK...,,-,705.00 ,,Fortes Developments,Ref: INV-41100,-,705.00
177,IBANK PAYMENT FROM ABSA BANK...,,-,322.00 ,,Swellensharon SA (Pty) Ltd,Ref: INV-40764,-,322.00
178,ACB CREDIT KAROOVLAKTE INV41...,,-,171.21 ,,Karoovlakte,Ref: INV-41163,-,171.21
179,IBANK PAYMENT FROM ABSA BANK...,,-,353.05 ,,Sustainable Accounting,Ref: INV-41189,-,353.05
180,ACB CREDIT Caledon Hatchery,,-,451.95 ,,Caledon Hatchery (Pty) Ltd,Ref: INV-41176,-,451.95
181,ACB CREDIT TWK Chicks,,-,451.95 ,,TWK Chicks (Pty) Ltd,Ref: INV-41158,-,451.95
182,IBANK PAYMENT FROM ABSA BANK...,,-,207.00 ,,Oewerzicht Farm Cottages,Ref: INV-41128,-,207.00
183,IBANK PAYMENT FROM ABSA BANK...,,-,2.070.00 ,,Oewerzicht Boerdery,Ref: INV-41127,-,2.070.00
184,ACB CREDIT Waitrose Foundati...,,-,451.95 ,,The Waitrose Foundation NPC,Ref: INV-41188,-,451.95
185,ACB CREDIT BLACE PTY LTD,,-,451.95 ,,Blace,Ref: INV-41140,-,451.95
186,ACB CREDIT DE RUST,,-,673.90 ,,De Rust Estate,Ref: INV-41185,-,673.90
187,ACB CREDIT SCHULTZ VPM (PTY)...,,-,1.013.45 ,,Schultz VPM (Pty) Ltd,Ref: INV-41194,-,1.013.45
188,IBANK PAYMENT FROM ABSA BANK...,,-,451.95 ,,Klipdale Boerdery,Ref: INV-41153,-,451.95
189,ACB CREDIT CLI-0081,,-,451.95 ,,Executive Panelbeaters,Ref: INV-41118,-,451.95
190,ACB CREDIT TANGENI GREYTON O...,,-,451.95 ,,GREYTON OAKS PTY LTD,Ref: INV-41177,-,451.95
191,ACB CREDIT ITAKANE TRADING 5...,,-,451.95 ,,Itakane Trading 57 (Pty) Ltd,Ref: INV-41131,-,451.95
192,ACB CREDIT H AND S FLIGHT,,-,301.30 ,,H and S Flights (Pty) Ltd,Ref: INV-41136,-,301.30
193,ACB CREDIT 41180 HIK ABALONE...,,-,1.273.90 ,,HIK Abalone Farm (Pty) Ltd,Ref: INV-41180,-,1.273.90
194,ACB CREDIT Southend Farms,,-,451.95 ,,Southend Farms (Pty) Ltd,Ref: INV-41144,-,451.95
195,ACB CREDIT DANCKWERTS FRUIT ...,,-,301.30 ,,Danckwerts Fruit Farms (Pty) ltd,Ref: INV-41152,-,301.30
196,ACB CREDIT PRINGLE INVESTMEN...,,-,451.95 ,,Pringle Investment Trust (Pty) Ltd,Ref: INV-41164,-,451.95
197,ACB CREDIT INV-41147,,-,451.95 ,,Jonet Baphalane Cleaning and Hygiene,Ref: INV-41147,-,451.95
198,ACB CREDIT INV-41150,,-,451.95 ,,Katli and Rathi Cleaning Services and Projects (Pty) Ltd,Ref: INV-41150,-,451.95
199,ACB CREDIT INV-41145 / AGRIS...,,-,451.95 ,,Agrisouth Orchards (SA) (Pty) Ltd,Ref: INV-41145,-,451.95
200,IBANK PAYMENT FROM ABSA BANK...,,-,70.00 ,,Blouvlei Accomodation,Ref: INV-41201,-,70.00
201,IBANK PAYMENT FROM ABSA BANK...,,-,290.00 ,,Heuningkloof Trust,Ref: INV-41203,-,290.00
202,ACB CREDIT PMT PROJECT ASSIG...,,-,594.00 ,,Project Assignments (SA) (Pty) Ltd,Ref: INV-41223,-,594.00
203,ACB CREDIT INV 41217,,-,290.00 ,,Tag Flora,Ref: INV-41217,-,290.00
204,ACB CREDIT PATRYSKOP BOERDER...,,-,290.00 ,,Patryskop Boerdery,Ref: INV-41216,-,290.00
205,ACB CREDIT PAYSOFT P REUVERS...,,-,387.00 ,,P reuvers Plase,Ref: INV-41200,-,387.00
206,ACB CREDIT BRONAAR PLASE EDM...,,-,1.125.85 ,,Bronaar,Ref: INV-41186,-,1.125.85
207,ACB CREDIT TANGENI TANGENI C...,,-,937.00 ,,TANGENI CATTLE COMPANY PTY LTD,Ref: INV-41206,-,937.00
208,ACB CREDIT INV 40434,,-,451.95 ,,BRENDAS PRESERVES,Ref: INV-41191,-,451.95
209,ACB CREDIT INVESTECPBArkTree...,,-,115.00 ,,Ark Tree Group (Pty) Ltd,Ref: INV-40999,-,115.00
210,ACB CREDIT MADRON FARMING,,-,451.95 ,,Madron Farming,Ref: INV-41154,-,451.95
211,ACB CREDIT PEARLY BEACH,,-,275.00 ,,Pearly Beach Seafarm (Pty) Ltd,Ref: INV-41198,-,275.00
212,ACB CREDIT ACMS 41208,,-,418.00 ,,Aquaculture Consulting & Management Services (PTY) LTD,Ref: INV-41208,-,418.00
213,ACB CREDIT CAPITEC FJP LOTTE...,,-,451.95 ,,FJP Lotter TA Karwyderskraal,Ref: INV-41165,-,451.95
214,ACB CREDIT STORMY CAPE,,-,275.00 ,,Stormy Cape Sea Farms (Pty) Ltd,Ref: INV-41207,-,275.00
215,ACB CREDIT CWA 41202,,-,70.00 ,,Cape Wild Abalone (Pty) Ltd,Ref: INV-41202,-,70.00
216,ACB CREDIT MRT DEVELOPMENT,,-,171.21 ,,MRT Development Project NPO,Ref: INV-41133,-,171.21
217,ACB CREDIT MONTEITH TRUST,,-,1.125.85 ,,Monteith Trust,Ref: INV-41149,-,1.125.85
218,IBANK PAYMENT FROM ABSA BANK...,,-,415.00 ,,Dr JP Duvenage Praktyk,Ref: INV-41221,-,415.00
